id	bacterial_strain	organism_type	experiment	replicate	sampling_date	day_in_experiment	unreliable_pop_size	notes	OD600	pred_cells_ml	pred_corrected								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	26/06/2017	588	no	NA	0.204	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	24/07/2017	616	no	NA	0.205	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	21/08/2017	644	no	NA	0.197	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	18/09/2017	672	no	NA	0.234	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	17/10/2017	701	no	NA	0.264	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	14/11/2017	729	no	NA	0.209	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	12/12/2017	757	no	NA	0.235	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	09/01/2018	785	no	NA	0.213	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	06/02/2018	813	no	NA	0.235	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	06/03/2018	841	no	NA	0.212	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	03/04/2018	869	no	NA	0.229	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	01/05/2018	897	no	NA	0.218	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	29/05/2018	925	yes	NA	0.232	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	26/06/2018	953	no	NA	0.217	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	24/07/2018	981	no	NA	0.205	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	21/08/2018	1009	no	NA	0.197	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	18/09/2018	1037	no	NA	0.234	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	16/10/2018	1065	no	NA	0.215	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	13/11/2018	1093	no	NA	0.227	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	11/12/2018	1121	no	NA	0.200	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	08/01/2019	1149	yes	NA	0.236	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	14/01/2019	1155	yes	NA	0.256	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	21/01/2019	1162	no	NA	0.218	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	28/01/2019	1169	no	NA	0.240	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	04/02/2019	1176	no	NA	0.215	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	11/02/2019	1183	no	NA	0.235	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	18/02/2019	1190	no	NA	0.242	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	25/02/2019	1197	no	NA	0.211	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	04/03/2019	1204	no	NA	NA	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	11/03/2019	1211	no	NA	NA	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	18/03/2019	1218	no	NA	NA	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	16/11/2015	0	no	NA	NA	10000	5000								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	14/12/2015	28	no	NA	NA	130800	65400								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	11/01/2016	56	no	NA	NA	71600	35800								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	08/02/2016	84	no	NA	NA	60800	30400								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	07/03/2016	112	no	NA	NA	71200	35600								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	03/04/2016	139	no	NA	NA	52000	26000								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	04/05/2016	170	no	NA	NA	15200	7600								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	30/05/2016	196	no	NA	NA	24000	12000								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	27/06/2016	224	no	NA	NA	47200	23600								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	25/07/2016	252	no	NA	NA	60800	30400								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	22/08/2016	280	no	NA	NA	4800	2400								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	19/09/2016	308	no	NA	NA	75600	37800								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	17/10/2016	336	no	NA	NA	47600	23800								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	14/11/2016	364	no	NA	NA	91600	45800								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	12/12/2016	392	no	NA	NA	62000	31000								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	09/01/2017	420	no	NA	NA	113200	56600								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	06/02/2017	448	no	NA	NA	142000	71000								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	06/03/2017	476	no	NA	NA	78800	39400								
