Species,Treatment,Medium,Replicate,Timepoint,Isolate,Ratio
BD,Evo,KCl,R2,TP2,7,1.0781190384222397
BD,Evo,KCl,R2,TP2,8,0.9010604004172147
BD,Evo,KCl,R2,TP2,9,1.3422162687654966
BD,Evo,KCl,R2,TP2,10,1.4411050749674865
BD,Evo,KCl,R3,TP1,1,1.68840032744012
BD,Evo,KCl,R3,TP1,2,1.3760564727895135
BD,Evo,KCl,R3,TP1,3,0.8759046832678336
BD,Evo,KCl,R3,TP1,4,1.291711110874863
BD,Evo,KCl,R3,TP1,5,1.292467105379728
BD,Evo,KCl,R3,TP1,6,0.9764944771057696
BD,Evo,KCl,R3,TP1,7,0.6439466693126474
BD,Evo,KCl,R3,TP1,8,0.8129397909438947
BD,Evo,KCl,R3,TP1,9,1.1604421150363766
BD,Evo,KCl,R3,TP1,10,0.7858184880818648
BD,Evo,KCl,R3,TP2,1,1.5332324553165906
BD,Evo,KCl,R3,TP2,2,1.040791809744533
BD,Evo,KCl,R3,TP2,3,1.0171906062957805
BD,Evo,KCl,R3,TP2,4,1.3425139416017873
BD,Evo,KCl,R3,TP2,5,0.8483675834281281
BD,Evo,KCl,R3,TP2,6,0.9338327622031098
BD,Evo,KCl,R3,TP2,7,0.9932870050450823
BD,Evo,KCl,R3,TP2,8,0.9407501119226241
BD,Evo,KCl,R3,TP2,9,0.988803012638102
BD,Evo,KCl,R3,TP2,10,1.587947557606191
BD,CoEvo,KCl,R1,TP1,1,1.2406720318651683
BD,CoEvo,KCl,R1,TP1,2,0.8536878947561151
BD,CoEvo,KCl,R1,TP1,3,0.9412934829729959
BD,CoEvo,KCl,R1,TP1,4,1.0168740335968682
BD,CoEvo,KCl,R1,TP1,5,0.8932878319140719
BD,CoEvo,KCl,R1,TP1,6,0.9504032167566183
BD,CoEvo,KCl,R1,TP1,7,0.980572122466385
BD,CoEvo,KCl,R1,TP1,8,0.939422396573455
BD,CoEvo,KCl,R1,TP1,9,0.9366157669741441
BD,CoEvo,KCl,R1,TP1,10,0.955265206416031
BD,CoEvo,KCl,R1,TP2,1,0.6272533656520985
BD,CoEvo,KCl,R1,TP2,2,0.569741083694498
BD,CoEvo,KCl,R1,TP2,3,0.5924114689091353
BD,CoEvo,KCl,R1,TP2,4,0.5597383314020037
BD,CoEvo,KCl,R1,TP2,5,0.5588264130305104
BD,CoEvo,KCl,R1,TP2,6,0.5547109679446518
BD,CoEvo,KCl,R1,TP2,7,0.5403281724895963
BD,CoEvo,KCl,R1,TP2,8,0.5553913629990302
BD,CoEvo,KCl,R1,TP2,9,0.6024472959612176
BD,CoEvo,KCl,R1,TP2,10,0.549882053044827
BD,CoEvo,KCl,R2,TP1,1,0.6651286903458321
BD,CoEvo,KCl,R2,TP1,2,0.5970230353888116
BD,CoEvo,KCl,R2,TP1,3,0.6302820686372138
BD,CoEvo,KCl,R2,TP1,4,1.007126429449766
BD,CoEvo,KCl,R2,TP1,5,0.6193059734197058
BD,CoEvo,KCl,R2,TP1,6,0.473110811075792
BD,CoEvo,KCl,R2,TP1,7,0.898305745440113
BD,CoEvo,KCl,R2,TP1,8,1.115460441996912
BD,CoEvo,KCl,R2,TP1,9,1.0392278461125937
BD,CoEvo,KCl,R2,TP1,10,1.056379471441717
BD,CoEvo,KCl,R2,TP2,1,0.7888755408609125
BD,CoEvo,KCl,R2,TP2,2,0.5422748583396235
BD,CoEvo,KCl,R2,TP2,3,0.675499989959448
BD,CoEvo,KCl,R2,TP2,4,0.7248806060240951
BD,CoEvo,KCl,R2,TP2,5,0.5450058884884481
BD,CoEvo,KCl,R2,TP2,6,0.5806415794615193
BD,CoEvo,KCl,R2,TP2,7,0.5781562475267759
BD,CoEvo,KCl,R2,TP2,8,0.7092078949451137
BD,CoEvo,KCl,R2,TP2,9,0.6014078035170283
BD,CoEvo,KCl,R2,TP2,10,0.5874455300053039
BD,CoEvo,KCl,R3,TP1,1,0.48721955852283405
BD,CoEvo,KCl,R3,TP1,2,0.5664950322892341
BD,CoEvo,KCl,R3,TP1,3,0.669853656001238
BD,CoEvo,KCl,R3,TP1,4,1.1170196806631962
BD,CoEvo,KCl,R3,TP1,5,1.0839165712814225
BD,CoEvo,KCl,R3,TP1,6,1.105211991490337
